그룹,videoId,제목,채널,조회수,좋아요,댓글수,영상길이,게시일,썸네일
코스피 5000,YzAyqI5m_AE,"코스피 5,000p 고점 신호, 조정을 대비해야 합니다. (김영익) | 인포맥스라이브 260122",연합뉴스경제TV,64890,1147,0,PT27M56S,2026-01-22T12:56:51Z,https://i.ytimg.com/vi/YzAyqI5m_AE/mqdefault.jpg
코스피 6000,k47FvUvyeV4,"코스피 6000 돌파 기념, '조롱어게인'... 뭐라고?",빛의 혁명:The Revolution of Light,2341575,76363,5437,PT1M13S,2026-02-26T02:15:00Z,https://i.ytimg.com/vi/k47FvUvyeV4/mqdefault.jpg
코스피 6000,bULcrlKGF6s,코스피 6000의 진실,1waynews 한길뉴스,646730,30920,992,PT1M5S,2026-02-25T13:45:11Z,https://i.ytimg.com/vi/bULcrlKGF6s/mqdefault.jpg
코스피 6000,UTLCfcdDftQ,코스피 6000 달성으로 국힘이 양치기 소년이 된 이유,시사맛집,413900,11655,75,PT1M11S,2026-02-25T15:30:21Z,https://i.ytimg.com/vi/UTLCfcdDftQ/mqdefault.jpg
코스피 6000,r1pJqxNQEaQ,"코스피 6000시대, 곱버스에서 헤매는 사람들 아직도 부지기수. 공약은 5000... 6000은 공약 위반?",빛의 혁명:The Revolution of Light,394806,11811,645,PT1M2S,2026-02-25T10:02:59Z,https://i.ytimg.com/vi/r1pJqxNQEaQ/mqdefault.jpg
코스피 6000,YI-nqLVDJkA,재래식 언론이 코스피 6000을 대하는 자세... “사지마.. 위험해”,빛의 혁명:The Revolution of Light,368718,12503,306,PT1M7S,2026-02-26T07:06:10Z,https://i.ytimg.com/vi/YI-nqLVDJkA/mqdefault.jpg
코스피 6000,UZ8xFg9Uj7o,70대도 넘어 오는 거야 #이재명 #코스피 6000 #코스피 7000 #삼성전자,폴리버스,333596,6358,173,PT39S,2026-02-26T06:34:34Z,https://i.ytimg.com/vi/UZ8xFg9Uj7o/mqdefault.jpg
코스피 6000,e-2voY_H-2o,"코스피 6000 넘었다. 지금은 무조건 이 ETF 모아가세요. S&P500, 나스닥 아닙니다 (존리 대표 풀버전)",머니판다 - 돈에 대한 모든 것을 판다,271790,4364,295,PT35M46S,2026-02-23T08:00:48Z,https://i.ytimg.com/vi/e-2voY_H-2o/mqdefault.jpg
코스피 6000,2rYDPYBmW30,"[뉴스하이킥] 거침없는 코스피, 드디어 6000 돌파...이제는 진짜 고점? 아직 아니다? - 곽상준, MBC 260225 방송",MBC 라디오 시사,261163,3691,495,PT19M40S,2026-02-25T11:04:31Z,https://i.ytimg.com/vi/2rYDPYBmW30/mqdefault.jpg
코스피 6000,UP7kpRiYF24,코스피 6000에 눈먼 국민? 이런 말이 나오는 이유가,정.길.희 정치의길은희망,245910,4574,63,PT57S,2026-02-26T14:56:21Z,https://i.ytimg.com/vi/UP7kpRiYF24/mqdefault.jpg
코스피 6000,wSlWDY8IxIc,"나경원 ""5000은 신기루"" 장동혁 ""절대 달성 못 해"" 코스피 6000 돌파에 소환되는 국민의힘 발언들｜지금 이 장면",JTBC News,186184,2814,1898,PT1M55S,2026-02-26T03:10:03Z,https://i.ytimg.com/vi/wSlWDY8IxIc/mqdefault.jpg
코스피 6000,EbQs0zkzo0I,"[속보]李,코스피6000업적? 충격 진실영상 화제",한국의 함성,180295,9250,453,PT1M1S,2026-02-26T13:07:06Z,https://i.ytimg.com/vi/EbQs0zkzo0I/mqdefault.jpg
코스피 6000,AlsbvmVBX8k,코스피 6000 시대 삼성전자로 돈 벌면 세금 없나요?! [국내 주식 양도세],세금은 택스퀸,169353,693,61,PT21S,2026-02-26T04:16:31Z,https://i.ytimg.com/vi/AlsbvmVBX8k/mqdefault.jpg
코스피 6000,apCey248wpU,코스피 6000 돌파! 근데 혹시 지금이 비수기란 것 알고 계시나요? 이광수 대표가 진보시민을 위해 전하는 코스피 투자 진심 조언 I 최경영TV,최경영TV,169138,6432,337,PT17M52S,2026-02-26T09:08:43Z,https://i.ytimg.com/vi/apCey248wpU/mqdefault.jpg
코스피 6000,2uVEjmgnmiA,"나경원 ""5000은 신기루"" 장동혁 ""절대 달성 못 해"" 코스피 6000 돌파에 소환되는 국민의힘 발언들 [이슈PLAY] / JTBC News",JTBC News,163989,1079,596,PT15M30S,2026-02-26T23:03:20Z,https://i.ytimg.com/vi/2uVEjmgnmiA/mqdefault.jpg
코스피 6000,NS3_4U-M_kc,"코스피 6000 돌파, 앞으로 여길 주목하세요 #존리",부티플 - 부의 배수를 높여라,157688,1268,9,PT48S,2026-02-28T05:00:21Z,https://i.ytimg.com/vi/NS3_4U-M_kc/mqdefault.jpg
